Node,Username,Start Time,Duration,Service,Active,Auth,Real Ip,Vpn Ip,Proto,Port,Bytes Total,Error
openvpn-server,Bryan.S,2022.06.27 07:53:20 EDT,6816,VPN,0,1,172.26.254.40,10.128.20.81,UDP,1194,1494660192,
openvpn-server,Rachel.M,2022.06.27 08:15:45 EDT,6930,VPN,0,1,172.27.222.124,10.128.20.13,UDP,1194,278946360,
openvpn-server,Samuel.Y,2022.06.27 08:36:28 EDT,23513,VPN,0,1,172.18.171.233,10.128.20.253,UDP,1194,301671790,
openvpn-server,Lawrence.T,2022.06.27 08:56:53 EDT,24778,VPN,0,1,172.25.215.123,10.128.20.214,UDP,1194,796464032,
openvpn-server,Albert.I,2022.06.27 09:25:07 EDT,,VPN,0,0,172.20.60.52,,UDP,1194,,user not found
openvpn-server,Jean.I,2022.06.27 09:55:42 EDT,5302,VPN,0,1,172.16.35.221,10.128.20.69,UDP,1194,1369018816,
openvpn-server,Michael.H,2022.06.27 10:23:19 EDT,3696,VPN,0,1,172.28.64.233,10.128.20.138,UDP,1194,418808544,
openvpn-server,Karen.H,2022.06.27 10:56:20 EDT,31953,VPN,0,1,172.26.81.110,10.128.20.169,UDP,1194,1580587098,
openvpn-server,Martha.B,2022.06.27 11:33:30 EDT,3984,VPN,0,1,172.18.11.90,10.128.20.108,UDP,1194,954164016,
openvpn-server,Laura.P,2022.06.27 12:09:16 EDT,,VPN,0,0,172.22.195.96,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Raymond.C,2022.06.27 12:38:28 EDT,4768,VPN,0,1,172.17.124.2,10.128.20.235,UDP,1194,327361344,
openvpn-server,James.W,2022.06.27 13:04:53 EDT,10298,VPN,0,1,172.24.14.127,10.128.20.42,UDP,1194,829514198,
openvpn-server,Eric.F,2022.06.27 13:42:18 EDT,6948,VPN,0,1,172.31.122.94,10.128.20.73,UDP,1194,260258184,
openvpn-server,Michelle.L,2022.06.27 14:22:17 EDT,5356,VPN,0,1,172.22.145.143,10.128.20.250,UDP,1194,485387500,
openvpn-server,Douglas.G,2022.06.27 14:41:42 EDT,14296,VPN,0,1,172.18.156.8,10.128.20.97,UDP,1194,1134316120,
openvpn-server,Jeremy.L,2022.06.27 15:14:07 EDT,7854,VPN,0,1,172.25.154.38,10.128.20.22,UDP,1194,319327932,
openvpn-server,Julia.H,2022.06.27 15:49:38 EDT,10670,VPN,0,1,172.30.188.10,10.128.20.220,UDP,1194,1634889410,
openvpn-server,Bryan.S,2022.06.27 16:24:20 EDT,7702,VPN,0,1,172.21.140.236,10.128.20.156,UDP,1194,540264492,
openvpn-server,Lawrence.T,2022.06.27 16:45:02 EDT,,VPN,0,0,172.22.153.124,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Rachel.M,2022.06.27 17:16:12 EDT,1702,VPN,0,1,172.16.0.173,10.128.20.119,UDP,1194,419500450,
openvpn-server,Brian.J,2022.06.27 17:49:32 EDT,2828,VPN,0,1,172.29.47.135,10.128.20.231,UDP,1194,455918848,
openvpn-server,Mason.K,2022.06.27 18:10:53 EDT,2344,VPN,0,1,172.30.114.238,10.128.20.74,UDP,1194,10934760,
openvpn-server,James.W,2022.06.27 18:46:50 EDT,,VPN,0,0,172.23.254.187,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,David.Z,2022.06.28 07:04:37 EDT,35726,VPN,0,1,172.30.27.28,10.128.20.170,UDP,1194,2789093094,
openvpn-server,Douglas.G,2022.06.28 07:41:08 EDT,,VPN,0,0,172.21.4.232,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Michelle.L,2022.06.28 08:05:44 EDT,23317,VPN,0,1,172.27.246.173,10.128.20.67,UDP,1194,986239149,
openvpn-server,Laura.P,2022.06.28 08:17:19 EDT,36840,VPN,0,1,172.19.33.203,10.128.20.66,UDP,1194,201109560,
openvpn-server,Douglas.G,2022.06.28 08:53:03 EDT,24215,VPN,0,1,172.20.117.149,10.128.20.79,UDP,1194,2805331965,
openvpn-server,Samuel.Y,2022.06.28 09:13:45 EDT,1889,VPN,0,1,172.17.38.232,10.128.20.38,UDP,1194,365223038,
openvpn-server,Ann.S,2022.06.28 09:51:16 EDT,28508,VPN,0,1,172.21.204.247,10.128.20.237,UDP,1194,5118554384,
openvpn-server,James.W,2022.06.28 10:24:23 EDT,6375,VPN,0,1,172.31.245.167,10.128.20.78,UDP,1194,242218125,
openvpn-server,Julia.H,2022.06.28 11:03:24 EDT,6770,VPN,0,1,172.26.136.70,10.128.20.205,UDP,1194,1392825950,
openvpn-server,Jean.I,2022.06.28 11:14:05 EDT,,VPN,0,0,172.20.73.197,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Samuel.Y,2022.06.28 11:31:43 EDT,12946,VPN,0,1,172.31.197.14,10.128.20.7,UDP,1194,1911205034,
openvpn-server,Raymond.C,2022.06.28 12:05:47 EDT,19919,VPN,0,1,172.17.140.172,10.128.20.214,UDP,1194,529785643,
openvpn-server,James.W,2022.06.28 12:40:03 EDT,1010,VPN,0,1,172.19.101.163,10.128.20.152,UDP,1194,237595430,
openvpn-server,Julia.H,2022.06.28 12:58:34 EDT,23489,VPN,0,1,172.16.198.157,10.128.20.194,UDP,1194,581329261,
openvpn-server,Janice.Z,2022.06.28 13:11:22 EDT,,VPN,0,0,172.29.125.111,,UDP,1194,,user not found
openvpn-server,Eric.F,2022.06.28 13:35:22 EDT,15090,VPN,0,1,172.19.241.159,10.128.20.103,UDP,1194,1504850250,
openvpn-server,Henry.T,2022.06.28 13:55:40 EDT,1248,VPN,0,1,172.20.39.177,10.128.20.133,UDP,1194,298717536,
openvpn-server,Henry.T,2022.06.28 14:23:12 EDT,6212,VPN,0,1,172.29.158.9,10.128.20.176,UDP,1194,65778868,
openvpn-server,Denise.S,2022.06.28 15:00:26 EDT,,VPN,0,0,172.17.174.65,,UDP,1194,,user not found
openvpn-server,Judy.C,2022.06.28 15:18:54 EDT,3912,VPN,0,1,172.27.115.51,10.128.20.53,UDP,1194,75216024,
openvpn-server,Ronald.I,2022.06.28 15:39:38 EDT,5760,VPN,0,1,172.23.225.240,10.128.20.154,UDP,1194,1387560960,
openvpn-server,Michelle.L,2022.06.28 16:18:22 EDT,5585,VPN,0,1,172.17.1.74,10.128.20.251,UDP,1194,501024765,
openvpn-server,Mason.K,2022.06.28 16:34:54 EDT,10730,VPN,0,1,172.19.237.180,10.128.20.136,UDP,1194,1049447650,
openvpn-server,Henry.T,2022.06.28 16:57:53 EDT,3763,VPN,0,1,172.22.244.224,10.128.20.151,UDP,1194,682404998,
openvpn-server,Michael.H,2022.06.28 17:14:11 EDT,5912,VPN,0,1,172.30.118.163,10.128.20.219,UDP,1194,535692232,
openvpn-server,Rachel.M,2022.06.28 17:31:21 EDT,3800,VPN,0,1,172.29.102.114,10.128.20.72,UDP,1194,263993600,
openvpn-server,Raymond.C,2022.06.28 18:09:18 EDT,2853,VPN,0,1,172.20.19.15,10.128.20.228,UDP,1194,412124409,
openvpn-server,Rachel.M,2022.06.28 18:36:48 EDT,6839,VPN,0,1,172.26.69.90,10.128.20.99,UDP,1194,1302255024,
openvpn-server,David.Z,2022.06.28 18:50:37 EDT,7527,VPN,0,1,172.16.2.151,10.128.20.122,UDP,1194,2006871321,
openvpn-server,Raymond.C,2022.06.29 07:08:10 EDT,16342,VPN,0,1,172.27.145.140,10.128.20.234,UDP,1194,2948309246,
openvpn-server,Karen.H,2022.06.29 07:19:16 EDT,37477,VPN,0,1,172.19.124.193,10.128.20.254,UDP,1194,9805819573,
openvpn-server,Samuel.E,2022.06.29 07:48:51 EDT,,VPN,0,0,172.26.123.124,,UDP,1194,,user not found
openvpn-server,Mary.I,2022.06.29 08:26:20 EDT,6738,VPN,0,1,172.23.24.74,10.128.20.177,UDP,1194,755565630,
openvpn-server,Eric.F,2022.06.29 08:52:50 EDT,37228,VPN,0,1,172.23.228.126,10.128.20.51,UDP,1194,5925282936,
openvpn-server,Jean.I,2022.06.29 09:26:36 EDT,1180,VPN,0,1,172.17.222.88,10.128.20.44,UDP,1194,187008760,
openvpn-server,Lawrence.T,2022.06.29 10:05:18 EDT,6414,VPN,0,1,172.16.79.18,10.128.20.203,UDP,1194,23167368,
openvpn-server,James.W,2022.06.29 10:29:11 EDT,5339,VPN,0,1,172.23.112.23,10.128.20.41,UDP,1194,842633014,
openvpn-server,Jean.I,2022.06.29 10:39:36 EDT,27489,VPN,0,1,172.18.147.105,10.128.20.63,UDP,1194,5918629101,
openvpn-server,Michelle.L,2022.06.29 11:15:05 EDT,20663,VPN,0,1,172.30.5.166,10.128.20.170,UDP,1194,1705999269,
openvpn-server,Henry.T,2022.06.29 11:45:36 EDT,12772,VPN,0,1,172.24.96.238,10.128.20.135,UDP,1194,2671557556,
openvpn-server,Jeremy.L,2022.06.29 12:00:58 EDT,22113,VPN,0,1,172.16.20.213,10.128.20.232,UDP,1194,455837382,
openvpn-server,Ann.S,2022.06.29 12:37:34 EDT,4930,VPN,0,1,172.20.43.216,10.128.20.159,UDP,1194,110639060,
openvpn-server,Ronald.I,2022.06.29 12:51:42 EDT,6389,VPN,0,1,172.25.188.210,10.128.20.126,UDP,1194,1057449779,
openvpn-server,Michael.H,2022.06.29 13:30:51 EDT,19338,VPN,0,1,172.27.79.234,10.128.20.206,UDP,1194,188603514,
openvpn-server,Lawrence.T,2022.06.29 13:51:54 EDT,10289,VPN,0,1,172.31.227.63,10.128.20.130,UDP,1194,1555809979,
openvpn-server,Martha.B,2022.06.29 14:25:37 EDT,1725,VPN,0,1,172.21.209.182,10.128.20.79,UDP,1194,251408400,
openvpn-server,Samuel.Y,2022.06.29 15:00:27 EDT,722,VPN,0,1,172.22.9.81,10.128.20.186,UDP,1194,108521654,
openvpn-server,Ronald.I,2022.06.29 15:39:18 EDT,3711,VPN,0,1,172.24.27.248,10.128.20.18,UDP,1194,553510494,
openvpn-server,Julia.H,2022.06.29 16:09:44 EDT,952,VPN,0,1,172.23.127.115,10.128.20.74,UDP,1194,104642888,
openvpn-server,Rebecca.V,2022.06.29 16:30:32 EDT,,VPN,0,0,172.17.139.168,,UDP,1194,,user not found
openvpn-server,Bryan.S,2022.06.29 17:10:28 EDT,605,VPN,0,1,172.18.34.141,10.128.20.94,UDP,1194,43860685,
openvpn-server,Lawrence.T,2022.06.29 17:30:26 EDT,6505,VPN,0,1,172.18.239.67,10.128.20.128,UDP,1194,957477455,
openvpn-server,Henry.T,2022.06.29 17:48:59 EDT,6480,VPN,0,1,172.17.111.193,10.128.20.100,UDP,1194,175335840,
openvpn-server,Brandon.Q,2022.06.29 18:00:35 EDT,,VPN,0,0,172.19.42.129,,UDP,1194,,user not found
openvpn-server,Raymond.C,2022.06.29 18:17:03 EDT,7196,VPN,0,1,172.25.185.66,10.128.20.235,UDP,1194,1046773336,
openvpn-server,Ann.S,2022.06.29 18:53:18 EDT,4783,VPN,0,1,172.28.131.92,10.128.20.177,UDP,1194,428140679,
openvpn-server,Philip.C,2022.06.30 07:25:02 EDT,42424,VPN,0,1,172.31.195.133,10.128.20.13,UDP,1194,4989486640,
openvpn-server,Mason.K,2022.06.30 08:00:20 EDT,25916,VPN,0,1,172.23.48.118,10.128.20.68,UDP,1194,4025998768,
openvpn-server,Jean.I,2022.06.30 08:37:55 EDT,28402,VPN,0,1,172.28.13.26,10.128.20.177,UDP,1194,4014736308,
openvpn-server,Ronald.I,2022.06.30 09:04:43 EDT,23903,VPN,0,1,172.25.55.130,10.128.20.152,UDP,1194,3403811103,
openvpn-server,Rachel.M,2022.06.30 09:16:13 EDT,33559,VPN,0,1,172.22.195.206,10.128.20.60,UDP,1194,5407596583,
openvpn-server,Raymond.C,2022.06.30 09:28:46 EDT,26271,VPN,0,1,172.23.38.3,10.128.20.249,UDP,1194,5086801188,
openvpn-server,Julia.H,2022.06.30 10:05:58 EDT,29709,VPN,0,1,172.22.47.19,10.128.20.236,UDP,1194,142365528,
openvpn-server,Henry.T,2022.06.30 10:26:02 EDT,22948,VPN,0,1,172.28.151.236,10.128.20.138,UDP,1194,2179968208,
openvpn-server,Judy.C,2022.06.30 10:48:19 EDT,16764,VPN,0,1,172.20.44.160,10.128.20.33,UDP,1194,3355029612,
openvpn-server,Danny.I,2022.06.30 11:42:37 EDT,19713,VPN,0,1,172.21.239.9,10.128.20.8,UDP,1194,4564229742,
openvpn-server,Michael.H,2022.06.30 12:09:20 EDT,11656,VPN,0,1,172.23.204.89,10.128.20.188,UDP,1194,2237007864,
openvpn-server,Ann.S,2022.06.30 12:36:30 EDT,,VPN,0,0,172.24.66.46,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Ann.S,2022.06.30 12:52:36 EDT,13936,VPN,0,1,172.25.13.249,10.128.20.151,UDP,1194,1232095696,
openvpn-server,Lawrence.T,2022.06.30 13:11:01 EDT,18504,VPN,0,1,172.23.165.239,10.128.20.231,UDP,1194,288865944,
openvpn-server,Danny.I,2022.06.30 13:49:06 EDT,4357,VPN,0,1,172.25.148.9,10.128.20.52,UDP,1194,479945335,
openvpn-server,Laura.P,2022.06.30 14:12:52 EDT,4735,VPN,0,1,172.20.167.224,10.128.20.63,UDP,1194,886718715,
openvpn-server,Jeremy.L,2022.06.30 14:24:45 EDT,,VPN,0,0,172.24.80.21,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Jeremy.L,2022.06.30 15:00:30 EDT,12338,VPN,0,1,172.22.202.9,10.128.20.130,UDP,1194,526573502,
openvpn-server,Brian.J,2022.06.30 15:12:45 EDT,7672,VPN,0,1,172.30.146.98,10.128.20.184,UDP,1194,1871768528,
openvpn-server,James.W,2022.06.30 15:30:58 EDT,12150,VPN,0,1,172.22.193.20,10.128.20.201,UDP,1194,1587215250,
openvpn-server,Mason.K,2022.06.30 15:41:27 EDT,,VPN,0,0,172.27.36.157,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Mary.I,2022.06.30 16:02:32 EDT,10660,VPN,0,1,172.21.36.115,10.128.20.41,UDP,1194,1458362620,
openvpn-server,Jean.I,2022.06.30 16:41:29 EDT,7734,VPN,0,1,172.17.102.239,10.128.20.85,UDP,1194,167294154,
openvpn-server,Samuel.Y,2022.06.30 16:53:10 EDT,,VPN,0,0,172.27.115.205,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Mason.K,2022.06.30 17:17:57 EDT,4633,VPN,0,1,172.28.214.143,10.128.20.92,UDP,1194,1190138939,
openvpn-server,Raymond.C,2022.06.30 17:38:05 EDT,7286,VPN,0,1,172.21.21.183,10.128.20.36,UDP,1194,127730866,
openvpn-server,Laura.P,2022.06.30 17:51:33 EDT,1573,VPN,0,1,172.22.27.44,10.128.20.126,UDP,1194,402628226,
openvpn-server,Karen.H,2022.06.30 18:03:46 EDT,,VPN,0,0,172.28.184.70,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Eric.F,2022.06.30 18:27:57 EDT,4387,VPN,0,1,172.17.25.202,10.128.20.232,UDP,1194,654628140,
openvpn-server,Julia.H,2022.07.01 07:25:03 EDT,30131,VPN,0,1,172.26.163.218,10.128.20.31,UDP,1194,4947811510,
openvpn-server,Eric.F,2022.07.01 08:02:05 EDT,32310,VPN,0,1,172.26.40.171,10.128.20.164,UDP,1194,1320218910,
openvpn-server,Laura.P,2022.07.01 08:17:36 EDT,11436,VPN,0,1,172.22.162.210,10.128.20.67,UDP,1194,769688544,
openvpn-server,Jeremy.L,2022.07.01 08:48:02 EDT,3304,VPN,0,1,172.30.119.216,10.128.20.189,UDP,1194,523789728,
openvpn-server,Bryan.S,2022.07.01 09:05:11 EDT,10791,VPN,0,1,172.19.197.112,10.128.20.179,UDP,1194,235902051,
openvpn-server,Philip.C,2022.07.01 09:39:44 EDT,10360,VPN,0,1,172.21.213.238,10.128.20.24,UDP,1194,1244505360,
openvpn-server,Martha.B,2022.07.01 10:12:51 EDT,10828,VPN,0,1,172.26.62.9,10.128.20.23,UDP,1194,867647640,
openvpn-server,Jean.I,2022.07.01 10:51:26 EDT,25286,VPN,0,1,172.20.212.171,10.128.20.89,UDP,1194,4219196674,
openvpn-server,Ann.S,2022.07.01 11:21:38 EDT,7386,VPN,0,1,172.22.208.201,10.128.20.125,UDP,1194,1732445388,
openvpn-server,Sara.J,2022.07.01 11:39:25 EDT,,VPN,0,0,172.30.143.202,,UDP,1194,,user not found
openvpn-server,Laura.P,2022.07.01 12:00:31 EDT,1460,VPN,0,1,172.27.39.162,10.128.20.25,UDP,1194,23684120,
openvpn-server,Mason.K,2022.07.01 12:12:41 EDT,7987,VPN,0,1,172.19.205.103,10.128.20.168,UDP,1194,613273808,
openvpn-server,David.Z,2022.07.01 12:39:15 EDT,24991,VPN,0,1,172.29.231.126,10.128.20.166,UDP,1194,348299567,
openvpn-server,Henry.T,2022.07.01 13:01:16 EDT,16216,VPN,0,1,172.23.57.227,10.128.20.77,UDP,1194,1570243928,
openvpn-server,Laura.P,2022.07.01 13:27:09 EDT,7519,VPN,0,1,172.28.100.215,10.128.20.232,UDP,1194,605159196,
openvpn-server,Karen.H,2022.07.01 13:38:15 EDT,1638,VPN,0,1,172.29.137.173,10.128.20.167,UDP,1194,105349608,
openvpn-server,Rachel.M,2022.07.01 14:17:09 EDT,13706,VPN,0,1,172.17.160.239,10.128.20.34,UDP,1194,2143001630,
openvpn-server,Raymond.C,2022.07.01 14:47:03 EDT,2031,VPN,0,1,172.30.224.205,10.128.20.18,UDP,1194,488496120,
openvpn-server,Michael.H,2022.07.01 15:15:15 EDT,1364,VPN,0,1,172.19.29.62,10.128.20.16,UDP,1194,132232980,
openvpn-server,Bryan.S,2022.07.01 15:26:57 EDT,7554,VPN,0,1,172.17.11.85,10.128.20.195,UDP,1194,1753011456,
openvpn-server,Lawrence.T,2022.07.01 15:51:48 EDT,4707,VPN,0,1,172.28.214.119,10.128.20.220,UDP,1194,224401518,
openvpn-server,Mary.I,2022.07.01 16:07:43 EDT,7234,VPN,0,1,172.16.210.50,10.128.20.140,UDP,1194,1829543706,
openvpn-server,Laura.P,2022.07.01 16:47:34 EDT,6549,VPN,0,1,172.23.51.25,10.128.20.14,UDP,1194,1737462798,
openvpn-server,Mason.K,2022.07.01 17:12:58 EDT,,VPN,0,0,172.27.233.214,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Louis.C,2022.07.01 17:31:36 EDT,,VPN,0,0,172.24.87.183,,UDP,1194,,user not found
openvpn-server,Michael.H,2022.07.01 17:53:37 EDT,2945,VPN,0,1,172.31.245.110,10.128.20.202,UDP,1194,267326485,
openvpn-server,Bryan.S,2022.07.01 18:04:20 EDT,952,VPN,0,1,172.30.22.173,10.128.20.12,UDP,1194,12997656,
openvpn-server,Ann.S,2022.07.01 18:31:37 EDT,3489,VPN,0,1,172.16.21.186,10.128.20.87,UDP,1194,368871036,
openvpn-server,Jeremy.L,2022.07.01 18:52:18 EDT,,VPN,0,0,172.24.218.43,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Ronald.I,2022.07.02 07:12:15 EDT,32503,VPN,0,1,172.29.32.57,10.128.20.80,UDP,1194,6509050780,
openvpn-server,Mary.I,2022.07.02 07:48:25 EDT,35653,VPN,0,1,172.31.62.167,10.128.20.4,UDP,1194,8621679766,
openvpn-server,Michelle.L,2022.07.02 08:14:02 EDT,24523,VPN,0,1,172.31.148.197,10.128.20.62,UDP,1194,6371173492,
openvpn-server,David.Z,2022.07.02 08:40:55 EDT,7841,VPN,0,1,172.28.235.60,10.128.20.47,UDP,1194,485310854,
openvpn-server,Bryan.S,2022.07.02 08:52:53 EDT,31612,VPN,0,1,172.16.90.165,10.128.20.120,UDP,1194,6886516140,
openvpn-server,Henry.T,2022.07.02 09:11:30 EDT,,VPN,0,0,172.21.35.103,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Adam.S,2022.07.02 09:40:07 EDT,,VPN,0,0,172.21.236.193,,UDP,1194,,user not found
openvpn-server,Laura.P,2022.07.02 10:15:29 EDT,3870,VPN,0,1,172.27.250.240,10.128.20.239,UDP,1194,338756580,
openvpn-server,Mason.K,2022.07.02 10:53:28 EDT,11327,VPN,0,1,172.27.175.154,10.128.20.49,UDP,1194,2760186014,
openvpn-server,Mason.X,2022.07.02 11:27:05 EDT,,VPN,0,0,172.30.46.116,,UDP,1194,,user not found
openvpn-server,Samuel.Y,2022.07.02 11:40:44 EDT,5728,VPN,0,1,172.20.71.200,10.128.20.189,UDP,1194,596651392,
openvpn-server,Rachel.M,2022.07.02 11:53:14 EDT,15715,VPN,0,1,172.17.191.221,10.128.20.40,UDP,1194,3390354100,
